TIME_PERIOD,variable,value,Country,Frequency
2015-01-01,PCPI_IX,250.45,TR,M
2015-02-01,PCPI_IX,252.24,TR,M
2015-03-01,PCPI_IX,255.23,TR,M
2015-04-01,PCPI_IX,259.39,TR,M
2015-05-01,PCPI_IX,260.85,TR,M
2015-06-01,PCPI_IX,259.51,TR,M
2015-07-01,PCPI_IX,259.74,TR,M
2015-08-01,PCPI_IX,260.78,TR,M
2015-09-01,PCPI_IX,263.11,TR,M
2015-10-01,PCPI_IX,267.2,TR,M
2015-11-01,PCPI_IX,268.98,TR,M
2015-12-01,PCPI_IX,269.54,TR,M
2016-01-01,PCPI_IX,274.44,TR,M
2016-02-01,PCPI_IX,274.38,TR,M
2016-03-01,PCPI_IX,274.27,TR,M
2016-04-01,PCPI_IX,276.42,TR,M
2016-05-01,PCPI_IX,278.02,TR,M
2016-06-01,PCPI_IX,279.33,TR,M
2016-07-01,PCPI_IX,282.58,TR,M
2016-08-01,PCPI_IX,281.76,TR,M
2016-09-01,PCPI_IX,282.27,TR,M
2016-10-01,PCPI_IX,286.33,TR,M
2016-11-01,PCPI_IX,287.81,TR,M
2016-12-01,PCPI_IX,292.54,TR,M
2017-01-01,PCPI_IX,299.74,TR,M
2017-02-01,PCPI_IX,302.17,TR,M
2017-03-01,PCPI_IX,305.24,TR,M
2017-04-01,PCPI_IX,309.23,TR,M
2017-05-01,PCPI_IX,310.61,TR,M
2017-06-01,PCPI_IX,309.78,TR,M
2017-07-01,PCPI_IX,310.24,TR,M
2017-08-01,PCPI_IX,311.85,TR,M
2017-09-01,PCPI_IX,313.88,TR,M
2017-10-01,PCPI_IX,320.4,TR,M
2017-11-01,PCPI_IX,325.18,TR,M
2017-12-01,PCPI_IX,327.41,TR,M
2018-01-01,PCPI_IX,330.75,TR,M
2018-02-01,PCPI_IX,333.17,TR,M
2018-03-01,PCPI_IX,336.48,TR,M
2018-04-01,PCPI_IX,342.78,TR,M
2018-05-01,PCPI_IX,348.34,TR,M
2018-06-01,PCPI_IX,357.44,TR,M
2018-07-01,PCPI_IX,359.41,TR,M
2018-08-01,PCPI_IX,367.66,TR,M
2018-09-01,PCPI_IX,390.84,TR,M
2018-10-01,PCPI_IX,401.27,TR,M
2018-11-01,PCPI_IX,395.48,TR,M
2018-12-01,PCPI_IX,393.88,TR,M
2019-01-01,PCPI_IX,398.07,TR,M
2019-02-01,PCPI_IX,398.71,TR,M
2019-03-01,PCPI_IX,402.81,TR,M
2019-04-01,PCPI_IX,409.63,TR,M
2019-05-01,PCPI_IX,413.52,TR,M
2019-06-01,PCPI_IX,413.63,TR,M
2019-07-01,PCPI_IX,419.24,TR,M
2019-08-01,PCPI_IX,422.84,TR,M
2019-09-01,PCPI_IX,427.04,TR,M
2019-10-01,PCPI_IX,435.59,TR,M
